¿Cuándo empezarían las escuelas privadas con el nuevo régimen?	['no tienen una posible fecha']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
¿Cuáles son los países de la UE más afectados por la pandemia?	['']
¿Quiénes son los líderes de la UE?	['']
¿Quiénes aportarán dinero para ayudar a otros países?	['']
¿Qué diferencias hay?	['']
¿Cuánto dinero se piensa aportar para el fondo?	['']
¿Cuál era el valor mínimo del subsidio por desempleo?	['']
¿Cuánto dinero es un salario mínimo?	['']
¿Cuándo comenzó la crisis?	['']
¿Por qué se propone incrementar el valor mínimo del subsidio por desempleo?	['']
¿Cuántas personas reciben actualmente subsidio por desempleo?	['']
¿Qué medidas tomo el gobierno ante el coronavirus?	['']
¿Cuánto porcentaje de gente está de acuerdo con las medidas tomadas por el gobierno?	['']
¿Cuánto porcentaje de gente está en desacuerdo con las medidas tomadas por el gobierno?	['']
¿Quién realizó la encuesta?	['']
