Documento,Pregunta,Anotador,Respuesta
ld0309,¿En cuántas escuelas rurales se piensa retomar la presencialidad?,SGoy,"La Sociedad de Medicina Rural del Uruguay (Someruy) manifestó su desacuerdo con la decisión del gobierno de retomar las clases presenciales en [973] escuelas rurales de todo el país, a excepción de Canelones, el miércoles 22 de abril."
ld0309,¿Quién decidió retomar las clases presenciales el 22 de abril?,SGoy,"La Sociedad de Medicina Rural del Uruguay (Someruy) manifestó su desacuerdo con la decisión del [gobierno] de retomar las clases presenciales en 973 escuelas rurales de todo el país, a excepción de Canelones, el miércoles 22 de abril."
ld0309,¿En qué departamento no se retomarán las clases de las escuelas rurales?,SGoy,"La Sociedad de Medicina Rural del Uruguay (Someruy) manifestó su desacuerdo con la decisión del gobierno de retomar las clases presenciales en 973 escuelas rurales de todo el país, a excepción de [Canelones], el miércoles 22 de abril."
ld0309,¿Qué es someruy?,SGoy,"[La Sociedad de Medicina Rural del Uruguay] (Someruy) manifestó su desacuerdo con la decisión del gobierno de retomar las clases presenciales en 973 escuelas rurales de todo el país, a excepción de Canelones, el miércoles 22 de abril."
ld0309,¿Qué porcentaje de médicos uruguayos vive y asiste al norte del río negro?,SGoy,"Someruy señaló que la apertura de las escuelas rurales aumentaría la movilidad de niños, docentes y padres; que la gran mayoría de los docentes de las escuelas rurales deben trasladarse desde la zona urbana donde residen hacia los centros educativos y que [menos de 6%] de los médicos uruguayos vive y asiste al norte del río Negro, por lo cual solicitó a las autoridades “sopesar” la decisión"
ld0309,¿Quién es el presidente de la Federación Médica del Interior?,SGoy,"La presidenta de Femi, [Patricia Nava], dijo a la diaria que comparten el planteo porque los médicos son muy pocos en la ruralidad."
ld0309,¿Quién es Patricia Nava?,SGoy,"[La presidenta de Femi], Patricia Nava, dijo a la diaria que comparten el planteo porque los médicos son muy pocos en la ruralidad."
ld0309,¿Qué es la FEMI?,SGoy,[La Federación Médica del Interior] (Femi) y el Sindicato Médico de Uruguay compartieron las declaraciones de Someruy y manifestaron su “preocupación” por la decisión del gobierno.
ld0310,¿Quién decidió retomar las clases presenciales el 22 de abril?,SGoy,"En un comunicado hecho público este viernes, la Federación Uruguaya a de Magisterio (FUM), manifestó su rechazo a la determinación del [Poder Ejecutivo] de reanudar las clases en las escuelas rurales a partir del 22 de abril."
ld0310,¿Qué le solicitó la FUM al gobierno?,SGoy,"Finalmente, en el último punto de su comunicado, la FUM solicita expresamente al gobierno [“la revisión de la resolución adoptada”]."
ld0085,¿Qué materiales es necesario tener para participar del taller de Isol Masenta?,AD,"Para seguir sus ejemplos, lo mejor es conectarse con algunos materiales a mano: [cartulinas (preferiblemente blancas), un par de hojas blancas por participante, tijera y trincheta, crayolas, lápices de colores o marcadores]."
ld0085,¿Qué premio ganó Isol Masenta?,AD,"La autora e ilustradora argentina Isol Misenta, premiada con [el Memorial Astrid Lindgren 2013], formará parte esta tarde a las 17.00 de un taller a través del Instagram Live de @plastilinarte, leyendo parte de su libro Petit, el monstruo, que inspiró una serie animada infantil. "
ld0086,¿Dónde se puede ver la información sobre el encuentro virtual de diseño?,AD,La programación más detallada está en la página [latirfestival.com].
ld0091,¿Cuál fase de la reapertura gradual comienza el 4 de mayo en Italia?,AD,"En su exposición ante los legisladores, Conte brindó detalles sobre la denominada [“fase dos”] de la reapertura gradual del país, que será a partir del 4 de mayo."
ld0091,¿De quién espera recibir apoyo Giuseppe Conte para la reapertura en Italia?,AD,"En su comparecencia, Conte ofreció detalles sobre sus planes desde el punto de vista sanitario, económico y sobre el apoyo que espera tener por parte [de la Unión Europea (UE)]."
ld0091,¿De quién espera recibir apoyo Giuseppe Conte para la reapertura en Italia?,AD,"Por otra parte, a dos días de la realización del próximo Consejo Europeo, Conte exigió una respuesta contundente y solidaria [del bloque comunitario] para ayudar a los países con mayores dificultades."
ld0091,¿De quién espera recibir apoyo Giuseppe Conte para la reapertura en Italia?,AD,"“[La UE y la Eurozona] no pueden permitirse cometer los errores de la crisis financiera de 2008, cuando no se dio una respuesta común."
ld0091,¿Cuántos puntos tiene la estrategia sanitaria de reapertura de Italia?,AD,"La estrategia sanitaria de su gobierno pasa por [cinco] puntos; el primero es mantener y hacer respetar la distancia social, y promover el uso extendido de dispositivos de protección individual, como mascarillas y guantes, hasta que se encuentre una vacuna o tratamiento para la covid-19."
ld0093,¿Quién es el Ministro del Interior de la Argentina?,AD,"Hablando sobre las estrictas medidas de distanciamiento social, el ministro del Interior, [Eduardo Wado de Pedro], afirmó ayer que “los gobernadores están de acuerdo con mantener la cuarentena” más allá del domingo 26, cuando vence el plazo del aislamiento social, preventivo y obligatorio establecido por el gobierno nacional."
ld0093,¿Quién es el Ministro de Transporte de la Argentina?,AD,"En una conferencia de prensa realizada en la estación de trenes de Retiro, donde junto con el ministro de Transporte, [Mario Meoni], inspeccionó la instalación de las cámaras térmicas que permitirán tomar la temperatura de quienes viajan diariamente en ese transporte público, De Pedro puntualizó que “el concepto cuarentena sigue”, según informó el portal Infobae."
mp0013,¿Quién dirige la coordinación del Ministerio de Salud Pública?,AD,"Antes, la doctora [Karina Rando], directora general de coordinación del Ministerio de Salud Pública, se había expresado en la misma vía: ""¿Cómo se sentirán quienes ha resignado reunirse con seres queridos priorizando la Salud del Pueblo Uruguayo?"
mp0013,¿Por qué medio se expresó Salinas sobre la Marcha por la Diversidad?,AD,"El respeto a la elección en como queremos sentir, ser o expresarnos en toda la amplitud de la acepción es incuestionable"", escribió el mandatario [en su cuenta de Twitter]."
mp0013,¿Cuándo se celebró la Marcha por la Diversidad?,AD,"El ministro de Salud, Daniel Salinas, se expresó este sábado a propósito de la multitudinaria Marcha por la Diversidad celebrada [el viernes por la tarde]."
ld0101,¿A partir de qué momento es obligatorio el uso de tapabocas? ,GM,El secretario de Presidencia explicó que se está trabajando con diferentes servicios para que apliquen esta modalidad [al momento del reinicio de sus actividades].
ld0101,¿Qué medida está prevista para aquellos que no tengan tapabocas? ,GM,"Asimismo, planteó que quienes no tengan tapabocas [recibirán uno de forma gratuita]."
ld0101,¿Cuándo se anunció la medida para supermercados?,GM,"A partir de este miércoles será obligatorio el uso de tapabocas en los supermercados, anunció [este martes] el secretario de Presidencia, Álvaro Delgado, en su cuenta de Twitter."
ld0103,¿Cuándo dijo el presidente Lacalle que se podía dar marcha atrás en las medidas? ,GM,"En la conferencia de prensa del viernes [17 de abril], Lacalle Pou dijo que cabía la posibilidad de dar marcha atrás en algunas medidas."
ld0103,¿De qué tema le pareció demasiado brusco hablar a Radi y al Presidente? ,GM,"“Nos pareció demasiado brusco hablar [del día después], porque para llegar a ese momento primero hay que pasar por una transición, que puede ser  larga”, y después surgirán nuevas situaciones, “con cambios en el  relacionamiento social”."
ld0103,¿En qué país aumentó el uso de espacios libres? ,GM,"Radi citó el ejemplo de [Alemania], donde aumentó el uso de espacios libres pero se redujo otro tipo de circulación. "
ld0105,¿Quiénes coordinan los entrenamientos en el Sporting?  ,GM,"Esta semana retomaron los entrenamientos bajo el mando [del preparador físico, el jefe de la Unidad de Desempeño y el médico], dividiendo el plantel en grupos reducidos que entrenan con un máximo de dos jugadores por cancha y salvaguardando una distancia mínima entre ellos de unos diez metros."
ld0105,¿En cuánto bajó el salario de los jugadores el Sporting de Lisboa? ,GM,"Sporting de Lisboa, de Portugal, donde juega el celeste Sebastián Coates, fue de los primeros equipos en reducir [40%] el salario de los futbolistas, así como el de los miembros de la administración de la sociedad deportiva."
ld0105,¿Cuántas personas murieron en Portugal por COVID?,GM,"En Portugal murieron [más de 700 personas] por covid-19; sin embargo, la legislatura permite la vuelta a los predios verdes siempre y cuando se mantengan las distancias en el tiempo y en el espacio, así como las medidas sanitarias requeridas."
ld0106,¿Qué medio utilizó Talvi para anunciar el reconocimiento de ONU? ,GM,"En una publicación en [Twitter], el canciller escribió: “Gran reconocimiento para el país de las Oficinas Regionales del Alto Comisionado de ONU para los DDHH, para los Refugiados y de la Organización Internacional para las Migraciones por su liderazgo en la protección de los derechos de las personas” durante la pandemia."
ld0106,¿Cuántos uruguayos volvieron a través de la operación Todos en Casa?,GM,"En particular, a través de la operación 'Todos en Casa', que ha logrado repatriar [casi 2.000] nacionales, permitiendo también el retorno al país de personas migrantes residentes”."
ld0106,¿A qué país destacó la Organización Internacional para las Migraciones a través de un documento?,GM,“Deseamos subrayar el rol destacado de [Uruguay] en la región y la forma en que se ha puesto a la vanguardia de la protección de estándares internacionales para garantizar el retorno de sus nacionales al país. 
ld0109,¿Cuántos niños recibieron su almuerzo en el merendero en Nueva España?,GM,"En el ínterin se acercaron al merendero Escuela de Rugby Inclusivo, del barrio Nueva España, y suministraron almuerzos a [50] niños y 20 abuelos."
ld0109,¿Cómo apoya Pedidos Ya con la logística? ,GM,"Además Pedidos Ya los apoya logísticamente, [cediendo motos tres veces por semana para el envío de las viandas]; los días restantes esto lo hace el equipo de Comida para Héroes, cuando se trata de platos hechos por Rumba, o deriva la tarea en el negocio que esté donando, indicándole quién será el destinatario en base a una lista elaborada para evitar el exceso de repeticiones."
ld0109,¿Cuánto vale cada vianda que se dona por heroes.uy?,GM,La plataforma permite que el público done viandas a un costo de [80 pesos].
ld0111,¿Cuál el plazo máximo para solicitar el beneficio?,GM,Tienen plazo para hacerlo hasta el [30 de abril a las 23.59].
ld0111,¿Dónde se publicarán los videos realizados por los adjudicatarios de los bonos? ,GM,Los videos serán publicados [en la plataforma virtual corchea.uy] y se les dará difusión en las redes sociales y el sitio web de la fundación y de Casa de los Escritores del Uruguay.
ld0114,¿De qué partido es la senadora Arrúa?,GM,"Por su parte, la senadora opositora Georgia Arrúa, del [Partido Patria Querida], defendió la propuesta, según informó el diario Última Hora."
ld0114,¿Quién es el principal político del Partido Liberal?,GM,"El líder del opositor Partido Liberal, [Efraín Alegre], manifestó que ese aporte es muy bajo, y denunció que se entrega mediante billeteras electrónicas que sólo se pueden canjear en supermercados “amigos del gobierno”."
ld0114,¿Qué precio pagó la Dirección Nacional de Aeronáutica Civil por las mascarillas?,GM,"Si bien Melgarejo afirma que se adquirieron mediante “un proceso fidedigno donde se compró algo necesario a un precio justo”, la Secretaría Nacional Anticorrupción encontró indicios de que la Dinac pagó [casi el doble del precio que tienen esas mascarillas en el mercado minorista]."
mp0021,¿Cuándo el celular intercambia identificadores? ,GM,"Implica que el celular a través del bluetooth, [cuando está a menos de tres metros de otro celular por más de 5 o 10 minutos] va a intercambiar identificadores, palabras aleatorias sin significado"""
mp0021,¿Qué son los identificadores que el usuario envía al Ministerio de Salud Pública? ,GM,"Le van a pedir que ponga su cédula de identidad y se le va a pedir que envíe sus identificadores al Ministerio de Salud Pública, es decir [los códigos que obtuvo en los últimos 14 días]."
mp0021,¿Qué programa conduce Emiliano Cotelo? ,GM,"Sobre esto conversó en la mañana de este martes Emiliano Cotelo, conductor de [En Perspectiva] en Radiomundo, con el ingeniero Gastón Milano, gerente del equipo de investigación y desarrollo de la empresa GeneXus."
mp0023,¿Qué empresas desarrollaron la tecnología para las alertas de exposición?,GM,"Para esto, se utilizó tecnología de [Google y Apple] que permite saber si la persona estuvo en contacto con un caso positivo sin que se sepa dónde estuvo ni con quién estuvo."
mp0023,¿Qué países desarrollaron esta tecnología antes que Uruguay?,GM,"Además, detalló que lo únicos países que aplicaron esta medida antes que Uruguay fueron [Italia y Suiza]."
mp0023,¿Cuántas descargas hubo de la aplicación en su primera etapa? ,GM,"Quién tomó la palabra en primer lugar, fue el ministro Paganini y aseguró que la primera etapa de la aplicación fue exitosa y valiosa con [325 mil] descargas, y aseguró que puso a Uruguay en la vanguardia sobre el combate de los países contra el COVID-19."
ld0703,¿Qué es el PIT-CNT?,SV,"El PIT-CNT y diversas organizaciones sociales se reunieron hoy para elaborar una “plataforma común” y “un mecanismo de lucha” frente a la expansión del nuevo coronavirus y el contexto de emergencia sanitaria, explicó a la diaria el presidente de la [central sindical], Fernando Pereira."
ld0703,¿Cuántas medidas plantea tomar el PIT-CNT y otras organizaciones para reducir el impacto del Covid19?,SV,"La central sindical y las organizaciones acordaron [ocho] medidas a implementar para reducir el impacto económico y los efectos en el mundo del trabajo, pero continuarán analizando medidas de atención a otros aspectos de la crisis, como las situaciones de violencia doméstica, y próximamente presentarán medidas de “protección a la mujer en el hogar”, sostuvo Pereira."
ld0704,¿Qué beneficios puede traer una cuarentena total?,SV,-
ld0704,¿Quién es Tabaré Vázquez?,SV," El [ex presidente] Tabaré Vázquez dijo en una entrevista con el programa Intercambio, de M24, que es necesario decretar una cuarentena total y obligatoria a la brevedad."
ld0706,¿Qué sanciones puede traer violar la cuarentena?,SV,-
ld0706,¿Qué efectos puede ocasionar el virus de Covid19 en animales?,SV,"Ahora ingresamos al mundo condicional, ya que hasta el momento [no existe evidencia científica que asegure que perros y gatos pueden infectarse con ese virus]."
ld0712,¿Cuál es el país con mas casos de coronavirus?,SV,"[China] sigue siendo el país que tuvo más casos positivos de coronavirus, aunque desde el jueves los únicos que se mantienen son los importados a excepción de uno registrado el sábado."
ld0712,¿Por qué Merkel está en cuarentena?,SV,"En las últimas horas fue la canciller alemana, Angela Merkel, quien empezó a hacer cuarentena después de que diera [positivo un médico con el que estuvo en contacto] el viernes."
ld0713,¿Cuántos casos positivos de coronavirus se registraron en Brasil?,SV," El informe de este domingo del Ministerio de Salud informaba que las muertes aumentaron de 11 el viernes a 18 el sábado y [25] el domingo, y que el número de diagnósticos creció, en el mismo período, de 904 a 1.546, alcanzando los 27 estados del país."
ld0713,¿Cuántas muertes por coronavirus se registraron en Brasil?,SV," El informe de este domingo del Ministerio de Salud informaba que las muertes aumentaron de 11 el viernes a 18 el sábado y [25] el domingo, y que el número de diagnósticos creció, en el mismo período, de 904 a 1.546, alcanzando los 27 estados del país."
ld0718,¿Para qué se elaboró el “plan de contención económica social”?,SV,"Ante las consecuencias económicas de la propagación del coronavirus y las medidas anunciadas por el Ejecutivo, una comisión de expertos del Frente Amplio (FA) elaboró “un plan de contención económica social” para [mitigar el impacto de la emergencia sanitaria]."
ld0718,¿Quiénes integran la comisión de expertos del FA?,SV,"La comisión designada por la coalición de izquierda para elaborar la propuesta está integrada por el actual senador y ex ministro de Economía y Finanzas [Danilo Astori, el senador Daniel Olesker, el ex ministro de Trabajo y Seguridad Social Ernesto Murro y la economista Andrea Vigorito]."
ld0721,¿Cuántos casos de Covid19 hay registrados en Brasil?,SV,-
ld0721,¿Cuántos uruguayos hay varados en Brasil por el Covid19?,SV,-
ld0722,¿Cuál es el costo que genera traer de manera extraordinaria a 172 uruguayos del exterior?,SV,-
ld0722,¿Cuántos uruguayos arribarán hacía Uruguay desde Lima?,SV,"El ministro de Defensa Nacional, Javier García, agregó que este domingo a las seis de la mañana va a salir para Lima un vuelo de la Fuerza Aérea con 60 ciudadanos peruanos y traerá a [75] uruguayos."
ld0723,¿Cuántos deportistas uruguayos han sido casos positivos de Covid19?,SV,-
ld0723,¿Cuántos jugadores de rugby han sido casos positivos de Covid19?,SV,[Dos] jugadores de rugby y tres jugadoras de hockey habían sido los primeros contagiados de coronavirus en el deporte uruguayo.
ld0724,¿Cuántos casos de Covid19 hay en Bolivia?,SV,"Bolivia tiene [19] casos de Covid-19 confirmados; las medidas que ya habían tomado eran el cierre de fronteras, la supresión de vuelos internacionales y del transporte interno y la prohibición de todo tipo de eventos.  "
ld0724,¿Para qué fecha se aplazaron las elecciones en Bolivia por efecto del coronavirus?,SV,Los comicios se iban a realizar el 3 de mayo y [aún no hay nueva fecha].
ld0725,¿Qué causó el incremento de solicitudes de seguro de desempleo?,SV, La mayoría de las causales (14.027) fueron por [suspensión de la actividad].
ld0725,¿Cuántas solicitudes de seguro de desempleo se presentaron en Montevideo?,SV,"[La mitad] de los requerimientos fueron en Montevideo, seguido por Canelones, Maldonado, Colonia, Paysandú, Salto y Tacuarembó."
ld0728,"¿Para qué ámbitos asistenciales rige el ""protocolo de seguridad""?",SV,"Según informó a la diaria Patricia Nava, presidenta de la Federación de Médicos del Interior (Femi), el texto trata sobre “cómo cuidar el espacio de salud cuando circulan pacientes positivos, cómo desinfectar y limpiar, hasta medidas y elementos de protección que tiene que tener el personal de salud y todos los que lo asistan en los diferentes niveles de atención”, en [policlínica, emergencia, sala de internación y centros de terapia intensiva]."
ld0728,¿Cuántos contagios de coronavirus se dan en ámbitos asistenciales ?,SV,La Sociedad Uruguaya de Medicina Familiar y Comunitaria expresó el jueves en un comunicado de prensa que en otros países que han tenido la epidemia del SARS-Cov-2 “[hasta 10% de los casos] de Covid-19” se registran en trabajadores de la salud. 
ld0731,¿En cuánto tiempo se prevee la recuperación de la economía?,SV,"Sin embargo, las conclusiones que podemos sacar de la historia es que [las consecuencias económicas, sociales y sanitarias son de largo plazo], y con eso en mente debemos afrontar la situación actual."
ld0731,¿Cuál es el aumento del nivel de pobreza causado por el coronavirus?,SV,-
ld0734,¿Cuántas casos positivos de covid se registran en España hasta la fecha?,SV,"De acuerdo con las últimas cifras oficiales, los afectados en el país son [20.410], tomando en cuenta los que están enfermos y quienes se recuperaron, y la cifra de fallecidos es de 1.049."
ld0734,¿Qué actividades escenciales se suspendieron en España por la pandemia?,SV,-
ld0737,¿Cuál es la principal estrategia que emplean los gobiernos ante la situación de emergencia sanitaria?,SV,-
ld0737,¿Qué estrategia plantea el gobierno de Uruguay ante el coronavirus?,SV,-
ld0738,¿Qué es el SMU?,SV,"una cuarentena obligatoria mucho más enérgica que la que tiene nuestro país” pide el [Sindicato Médico del Uruguay] (SMU) para contener la expansión del SARS-Cov-2, el nuevo coronavirus."
ld0738,¿En qué medida se vieron afectadas las cirugías menores en el contexto de la pandemia?,SV,-
ld0739,¿Cuántos casos de Covid19 se han registrado en Argentina hasta la fecha?,SV,"De acuerdo con el Ministerio de Salud argentino, este viernes se diagnosticaron 30 nuevos casos de Covid-19 en el país, con lo que se llega a un total de [158] casos desde la aparición del primero, el 3 de marzo."
ld0739,¿Cuántos muertes ocasionadas por Covid19 se han registrado en Argentina hasta la fecha?,SV,-
ld0741,¿En qué gastará el Mides los 1.000 millones de pesos otorgados por el Ministerio de Economía?,SV,"En particular, serán destinados a dos aspectos vinculados a la emergencia sanitaria: [la implementación de un sistema alimentario especial y la atención a las personas en situación de calle mayores de 65 años]."
ld0741,¿Cuántas personas reciben ayuda del Mides actualmente?,SV,"Por un lado, habrá una inyección de dinero, que Bartol no especificó, en las 87.019 tarjetas emitidas del programa Uruguay Social, que cubre las necesidades alimentarias de unas [400.000] personas. "
ld0742,¿Cómo puede un ciudadano obtener la aplicación del Covid19?,SV,"El acceso a la aplicación puede ser [a través del Play Store de los teléfonos] con sistema operativo Android o la App Store de los iOs, de los teléfonos iPhone."
ld0742,¿Cuándo estará disponible la aplicación del Covid19 en Uruguay?,SV,A partir de [hoy] estará a disposición una nueva vía de comunicación para quienes sospechan que pueden tener coronavirus.
ld0743,¿Cuándo regresará el fútbol internacional en América del Sur?,SV,En su comunicado de esta semana el organismo sudamericano ha determinado que la Libertadores queda suspendida temporalmente –inicialmente- hasta el [5 de mayo].
ld0743,¿Cuántos casos de Covid19 se registran en el fútbol sudamericano?,SV,-
ld0745,¿Qué es la OMS?,SV,"Con millones de personas en cuarentena total o parcial en Europa, Latinoamérica y China, el director general de la [Organización Mundial de la Salud] (OMS), Tedros Adhanom Ghebreyesus, compartió una serie de consejos para que quienes se encuentran realizando estas medidas de aislamiento no descuiden su salud física o mental."
ld0745,¿Qué ejercicios se pueden realizar en el hogar para mantener la salud física?,SV,"La OMS recomienda buscar ejercicios en internet y [bajar y subir escaleras], de ser posible."
ld0747,¿Para qué fecha estaba previsto el Sudamericano femenino sub 17 postergado por el Covid19?,SV,"El sub 17, fijado en principio para comenzar el [15 de abril] en nuestro país, fue postergado para jugarse “a fines de agosto, principios de setiembre”, según resolución tomada por el Consejo de la Conmebol, vía teleconferencia."
ld0747,¿Para qué fecha fue postergrado el Sudamericano femenino sub 17?,SV,"El sub 17, fijado en principio para comenzar el 15 de abril en nuestro país, fue postergado para jugarse “[a fines de agosto, principios de setiembre]”, según resolución tomada por el Consejo de la Conmebol, vía teleconferencia."
ld0750,¿Cuántas personas se encuentran realizando teletrabajo en Uruguay en el contexto de la pandemia?,SV,-
ld0750,¿Qué significa teletrabajar?,SV,"CEDU define el teletrabajo como “una [actividad laboral que se lleva a cabo fuera de la organización] en la que se encuentran centralizados todos los procesos”, que se vale de la utilización de tecnologías “para facilitar la comunicación entre las partes sin necesidad de estar en un lugar físico determinado para cumplir sus funciones”."
mp0141,¿Cuántos casos activos de coronavirus se registran?,SV,-
mp0141,¿Cuántos casos activos de coronavirus se proyectan en Uruguay en los próximos meses?,SV,-
mp0144,¿Cuántas muertes se registran en Brasil desde que comenzó la pandemia del coronavirus?,SV,"Desde el primer contagio, el 26 de febrero de 2020, y de la primera muerte, el 12 de marzo del año pasado, ambos en Sao Paulo, el país suma ahora 19.020.499 casos confirmados y totaliza [531.688] óbitos."
mp0144,¿Cuántos casos activos de coronavirus registra Brasil actualmente?,SV,Otros [1.009.534] pacientes se encuentran en acompañamiento médico en hospitales o en sus residencias después de haber dado positivo en las pruebas clínicas.
mp0146,¿Cuántos casos activos de coronavirus registra Argentina actualmente?,SV,-
mp0146,¿Cuántas muertes se registran en Argentina desde que comenzó la pandemia del coronavirus?,SV,"Argentina reportó este viernes 14.518 nuevos casos de la covid-19, con lo que el número total de positivos ascendió a 4.627.537, mientras que los fallecimientos se elevaron a [98.148], tras ser notificadas 244 muertes en las últimas 24 horas."
mp0147,¿Cuántos casos positivos de Covid19 se han registrado hasta el momento en residenciales?,SV,-
mp0147,¿Cuántos muertes por Covid19 se han registrado hasta el momento en residenciales?,SV,-
mp0148,¿Qué requisitos deben cumplir las farmacias para realizar test de Covid19?,SV,Deben [“disponer de personal específicamente capacitado por el MSP” y “contar con un área individualizada para la realización de la técnica”].
mp0148,¿Desde qué día se podrá realizar tests de Covid19 en las farmacias?,SV,-
mp0149,¿Cuál es el monto total del premio por ganar la final de la Eurocopa?,SV,Si los ingleses son campeones recibirán [9.5 millones de libras] y se lo darán al Servicio Nacional de Salud en su lucha conta el covid.
mp0149,¿A quién decidieron donar el premio de la Eurocopa los jugadores ingleses si logran ganarla?,SV,Si los ingleses son campeones recibirán 9.5 millones de libras y se lo darán al [Servicio Nacional de Salud] en su lucha conta el covid.
ld0653,¿Qué es Bibliobarrio?,JR,"“Hay que cuidarse y quedarse en casa, pero te recomendamos que no te quedes sin libros”, dicen los responsables de la [biblioteca] Bibliobarrio."
ld0653,¿Qué tipo de contenidos disponibiliza UNICEF?,JR,"“Ante el estrés que suponen este tipo de situaciones para los niños, las actividades de esparcimiento y el juego permiten canalizar y descargar emociones esperables frente a la ocurrido”, comunicó UNICEF al tiempo que ponía a disposición varios de sus [recursos para desarrollar actividades en casa] “enfocadas en continuar con los aprendizajes, reforzar el vínculo familiar y cuidar la salud física y emocional”."
ld0654,¿Quién es Lacalle Pou?,JR,"En la conferencia de prensa del lunes por el coronavirus, [el presidente] Luis Lacalle Pou fue consultado por estrategias gubernamentales frente a los femicidios y la violencia de género en este marco de aislamiento social y confinamiento en los hogares."
ld0654,¿Qué estrategias tomó el gobierno uruguayo para combatir el Coronavirus?,JR,-
ld0655,¿Cuántas personas se dedican al servicio doméstico en Uruguay?,JR,-
ld0655,¿Cuántas trabajadores fueron despedidas debido a la pandemia?,JR,"“En las últimas dos semanas a mí me llamaron [14] mujeres que fueron despedidas, pero somos cuatro o cinco las referentes que atendemos el teléfono, y esto sólo en Montevideo, sin contar el resto del país, donde estamos en la misma situación”, explicó."
ld0656,¿Quién organizó el concurso La Cuarentena?,JR,"Hasta el domingo 12 de abril estará abierta la convocatoria del concurso de fotografía “La cuarentena”, organizado por la [Facultad de Arquitectura, Diseño y Urbanismo de la Universidad de la República] (Udelar)."
ld0656,¿Cuál es el premio del concurso La Cuarentena?,JR,-
ld0658,¿Qué medidas se tomaron contra la pandemia en la educación?,JR,-
ld0658,¿Cuál fue la campaña iniciada por Fenapes?,JR,"Por ejemplo, la Federación Nacional de Profesores de Enseñanza Secundaria (Fenapes) comenzó con la campaña [#ProfesTiranPiques, una serie de videos de pocos minutos en los que docentes de distintas asignaturas dan recomendaciones de películas, apps o cuentas en redes sociales para seguir vinculados a las distintas materias]."
ld0658,¿Cuál fue la propuesta del Frente de Participación Estudiantil?,JR,"El Frente de Participación Estudiantil (FPE) Susana Pintos puso a disposición en estos días una [biblioteca virtual de carácter colaborativo]: “Hemos acelerado y concentrado los esfuerzos en lanzar esta plataforma en este momento, donde la coyuntura de la pandemia del Covid-19 apremia a buscar mecanismos alternativos para poder estudiar y donde muchos otros han antepuesto el lucro nosotros hemos colocado la organización, el esfuerzo y la solidaridad para poder resolver nuestros problemas como estudiantes de manera organizada”."
ld0658,¿Qué propuso el colectivo Maestras Feministas?,JR,"En tanto, el colectivo Maestras Feministas comenzó esta semana a presentar [recursos didácticos para “Enseñar y aprender desde casa”]."
ld0659,¿Cuántas denuncias de violencia de género se han presentado durante la pandemia?,JR,-
ld0659,¿Quiénes integran el Consejo Nacional Consultivo por una Vida Libre de Violencia de Género?,JR,"El Consejo Nacional Consultivo por una Vida Libre de Violencia de Género, integrado por [14 organismos del Estado y representantes de la sociedad civil], se reunió este martes para analizar medidas que garanticen la seguridad de las mujeres en situación de violencia, una problemática que puede agravarse en el contexto de la cuarentena."
ld0659,¿Qué sucedió con la violencia de género durante la pandemia?,JR,-
ld0659,¿En qué período ocurre la feria judicial?,JR,-
ld0662,¿Cuántas ollas populares hay en Montevideo?,JR,-
ld0662,¿Cuántas solicitudes al seguro de desempleo se han realizado en el BPS?,JR,"Vecinos y referentes de distintos barrios de Montevideo se organizan para colaborar con las familias más perjudicadas por la emergencia sanitaria a raíz del coronavirus, que a pocos días de su llegada ya está evidenciando consecuencias negativas en la actividad laboral: hasta este martes había [más de 50.000] solicitudes de seguro de desempleo ingresadas en el Banco de Previsión Social en menos de un mes."
ld0663,¿Qué tipos de personas forman parte de la población de riesgo?,JR,"El gobierno dispuso una serie de medidas para reducir la exposición al coronavirus de las [personas de más de 65 años], que son parte de la población de riesgo."
ld0663,¿Cuál es el horario preferencial para mayores de 65 años?,JR,"Además, esta población tendrá un horario de atención preferencial en los supermercados, que será [de 8.30 a 10.00], por lo que se le pide a quienes tienen menos de 65 años que no acudan a esos espacios en ese horario."
ld0664,¿En qué año nació Albert Uderzo?,JR,"Porque Albert Uderzo ([1927]-2020) era como un abuelo, y a los abuelos uno nunca quiere soltarlos."
ld0664,¿Quién fue el creador de Asterix?,JR,"La despedida al “abuelo” [Albert Uderzo], uno de los creadores de Asterix"
ld0668,¿Cuánto se les paga a los hoteles contratados por el Mides?,JR,"El hotel se encontraba sin clientes, debido a la situación generada por la epidemia de coronavirus. Fuentes del Mides informaron que la cartera pagará unos [15.000 dólares mensuales] a cada hotel con estas características."
ld0668,¿A qué hoteles se trasladó a las personas en situación de calle?,JR,"Unas 70 personas en esta situación están siendo alojadas en el hotel [Urban Express], ubicado en Andes y Uruguay, donde se acondicionaron 35 habitaciones dobles."
ld0670,¿En qué fecha fue el golpe de estado en Argentina?,JR,"“El aislamiento preventivo y obligatorio nos impide marchar hoy para cuidarnos. Pero no nos impide recordar. Este [24 de marzo], desde nuestras casas, igual levantamos los pañuelos por la memoria, la verdad y la justicia”, escribió este martes por la mañana el presidente [Alberto Fernández] en su cuenta de Twitter."
ld0670,¿En qué fecha fue el golpe de estado en Argentina?,JR,"De todas maneras, muchos ciudadanos recordaron la fecha que dio comienzo a la dictadura de [1976], la más sangrienta de la historia argentina, colgando en sus balcones, puertas, terrazas y también en las redes sociales pañuelos blancos, en referencia a la permanente lucha llevada adelante durante todos estos años por las Madres y Abuelas de Plaza de Mayo."
