¿Qué medidas tomó el gobierno francés?	['prohibición de aglomeraciones de gente']
¿Quién es Chase Carey?	['director ejecutivo de la competencia']
¿Quién es Chase Carey?	['CEO de la Fórmula 1']
¿En dónde se va a hacer la primera carrera de Fórmula 1?	['Austria']
¿Quién va a presentar un proyecto para estudiar el contagio de coronavirus en mascotas?	['Facultad de Veterinaria de la Universidad de la República']
¿Quién va a presentar un proyecto para estudiar el contagio de coronavirus en mascotas?	['doctor Alejandro Benech, grado 5 y director del Departamento de Pequeños Animales de dicha facultad']
¿Qué es el ARN?	['una molécula presente en las células que se encarga de mediar entre la información almacenada en el ADN y la síntesis de proteínas adecuada']
¿Qué es el ARN?	['una especie de mensajero entre la información que existe y la producción de proteínas']
¿Quién es el Ministro de Salud de España?	['Salvador Illa']
¿Qué medidas se deben tomar al aire libre en España?	['se recomienda el uso de tapabocas, aunque no es obligatorio, y policías, a pie, en móviles e incluso en helicópteros, llamaban a las personas a mantener la distancia social']
¿Qué actividades al aire libre se permitirán próximamente en España?	['salidas para hacer deporte de forma individual, los paseos en familia y paseos breves para las personas mayores']
¿Cuáles son las medidas sanitarias que se deben respetar durante la caravana del 1 de mayo 2020?	['por ejemplo, que en la caravana sólo pueda ir una persona por moto o bicicleta, no más de dos por auto –una persona adelante y otra atrás– y “todo el mundo con tapaboca”.']
¿Quiénes van a respaldar, en materia de seguridad, la caravana del 1 de mayo?	['el MI “va a ayudar a la seguridad de esa caravana” con la Policía de Tránsito']
¿Dónde se celebra el 1 de mayo 2020?	['“la casa de familia” de cada uno de los trabajadores']
¿Cuáles son las empresas más afectadas por la pandemia?	['las microempresas y las empresas del sector vinculado a los alojamientos y servicios de comida y comercio']
¿Qué porcentaje de empresas están conformes con las medidas del gobierno?	['35,4% considera que son “adecuadas” y 2,6% opina que se “ajustan perfectamente” a sus requerimientos']
¿Qué porcentaje de empresas no pudo implementar las medidas promocionadas por el gobierno?	['33,1%']
¿Cuáles son las medidas anunciadas por el gobierno que más implementaron las empresas?	['las del seguro de paro flexible (26,7%) y el aplazamiento de aportes tributarios (20,2%)']
¿Qué porcentaje de empresas adoptaron la medida de seguro de paro flexible?	['26,7%']
¿Qué porcentaje de empresas adoptaron la medida de aplazamiento de aportes tributarios?	['20,2%']
¿Qué porcentaje de empresas recogió caídas en sus niveles de venta?	['86,9%']
¿Qué tipo de empresa registró más caída en sus niveles de venta?	['las microempresas']
¿Qué tipo de empresa registró más caída en sus niveles de venta?	['las empresas de alojamiento y servicios de comida']
¿Qué porcentaje de microempresas registró caída en las ventas?	['91,4%']
¿Qué porcentaje de empresas de alojamiento y comida registró caídas en las ventas?	['96,3%']
¿Qué porcentaje de empresas de construcción registró caídas en las ventas?	['88,9%']
¿Qué porcentaje de comercios minoristas y mayoristas registró caídas en las ventas?	['88,4%']
¿Qué proporción de empresas mandaron empleados a seguro de desempleo?	['seis de cada diez empresas']
¿Cuál es el sector que envió a más trabajadores a seguro de desempleo?	['el sector de alojamiento y servicios de comida']
¿Qué porcentaje de empresas del sector de alojamiento y comida mandó a sus trabajadores a seguro de desempleo?	['81,5%']
¿Qué porcentaje de empresas de comercio mandó a sus trabajadores a seguro de desempleo?	['66,9%']
¿Qué porcentaje de empresas del sector manufacturero mandó a sus trabajadores a seguro de desempleo?	['60%']
¿Qué porcentaje de empresas mandó a más del 75% de sus empleados a seguro de desempleo?	['41,2%']
¿Cuántas empresas mandaron a sus empleados a seguro de paro parcial?	['Del total de empresas que enviaron al seguro de paro, la mitad']
¿Cuántas empresas no están en condiciones de pagar los salarios?	['10%']
¿Cuántas empresas no quieren llamar a una nueva ronda de Consejo de Salarios?	['50%']
¿Cuándo se reanudaría el trabajo judicial tras la Feria Judicial Sanitaria?	['el lunes 4 de mayo']
¿Quién resolvió hacer la Feria Judicial Sanitaria?	['la Suprema Corte de Justicia (SCJ, órgano máximo de nuestro Poder Judicial)']
¿Cómo se llama el proyecto para paliar las consecuencias de la crisis sanitaria para los artistas?	['CulturaenCasa.uy']
¿Cuándo se declaró la emergencia sanitaria en Uruguay?	['El 13 de marzo']
¿Cuántos casos de covid se detectaron a lo largo de la pandemia en Argentina?	['5,1 millones']
¿Cuántas muertes causó el covid en Argentina?	['110.609']
¿Cuántas personas en Argentina tienen solo una dosis de vacuna contra el covid?	['27,3 millones']
¿Cuántas personas de Argentina ya tienen su esquema de vacunación completo?	['12,2 millones']
¿Cuándo se empezó a aplicar la medida de las tres G en Alemania?	['este lunes']
¿A qué tipo de espacios apunta la medida de las tres G?	['todo tipo de espacios públicos cerrados']
¿Cuántos casos semanales por cada 100.000 habitantes hay en Alemania?	['56,4']
¿Cuántas personas tienen la dosis de refuerzo en Israel?	['más de 1,4 millones']
¿A partir de qué edad los niños se pueden vacunar en el horario escolar?	['mayores de 12 años']
¿Cuántas personas de entre 12 y 15 años tienen alguna dosis de la vacuna?	['cuatro de cada diez']
¿Cuándo controló la expansión del virus China?	['primavera de 2020']
¿Cuántas personas tuvieron que confinarse debido al nuevo brote de covid?	['varios millones']
¿Cuántos positivos hubo en la gente que llegó del extranjero a China?	['21']
¿Hasta cuándo habrá cuarentena en Nueva Zelanda?	['hasta el próximo viernes']
¿En qué partes de Nueva Zelanda habrá confinamiento por siete días?	['']
¿Cuándo se empezó a vacunar gente por covid en Nueva Zelanda?	['el pasado febrero']
¿Cuántas personas murieron en sus hogares en los primeros cinco días de abril en Nueva York?	['1.125']
¿Quiénes trabajan para recuperar los cuerpos de los muertos por covid?	['15 equipos compuestos por cuatro empleados de morgues y bomberos']
¿Cuántos contagios hubo en Nueva York en total?	['casi 175.000']
¿Cuándo se detuvo la actividad económica en España?	['los últimos días de marzo']
¿Qué país supera en muertos por covid a España?	['Italia']
¿Cuándo se detuvo la actividad económica en España?	['el 30 de marzo']
¿Cuándo se comenzará a retomar la actividad económica en España?	['A partir del lunes']
¿Hasta cuándo se suspenden los festivales de cerveza en Alemania?	['finales de agosto']
¿Cuánto cayó el PBI de Alemania debido a la pandemia?	['casi 10%']
¿Cuándo reabren las escuelas en Alemania?	['4 de mayo']
¿Quién es el secretario general de la ONU?	['António Guterres']
¿De qué acusa Trump a la OMS?	['encubrir la expansión del coronavirus']
¿Quiénes criticaron la decisión de Trump de suspender el financiamiento de la OMS?	['António Guterres']
¿Quiénes criticaron la decisión de Trump de suspender el financiamiento de la OMS?	['el gobierno de la canciller Angela Merkel']
¿Quiénes criticaron la decisión de Trump de suspender el financiamiento de la OMS?	['Heiko Maas']
¿Quiénes criticaron la decisión de Trump de suspender el financiamiento de la OMS?	['la Asociación Médica Americana']
¿Quiénes criticaron la decisión de Trump de suspender el financiamiento de la OMS?	['Patrice A Harris']
¿Cuántas personas deberán pagar el impuesto a las grandes fortunas de Argentina?	['12.000']
¿Durante cuánto tiempo hay que pagar el impuesto a las grandes fortunas de Argentina?	['única vez']
¿Quién es el ministro de economía argentino?	['Martín Guzmán']
¿Cuándo se correrá el Tour de France?	['entre el 29 de agosto y el 20 de setiembre']
¿Cuándo se correrá el Tour de France?	['setiembre']
¿Quién ganó el Tour de Francia?	['Egan Bernal']
¿Quién dirige la carrera Tour de France?	['Christian Prudhomme']
¿Podrá ir el público a los partidos de la LUB?	['setiembre']
¿Cuándo comenzará El Metro?	['entre junio y julio']
¿Cuándo comenzará la próxima temporada de la liga uruguaya de básquetbol?	['20 días después de finalizada la que está en juego']
¿Cuál es la letalidad del coronavirus?	['1,56%']
¿Cuál es la letalidad del coronavirus?	['1,56%']
¿Cuál es la mortalidad del covid?	['1,56%']
¿Cuántas embarazadas se contagiaron de covid-19?	['1.460']
¿Cuántas embarazadas han muerto por el coronavirus?	['12']
¿Cuánto del PBI destina Uruguay a la salud?	['6,2%']
¿Cuántas camas hay en el sistema de salud?	['9.191']
¿Cuántos jubilados están cubiertos por el sistema de salud?	['600.000']
¿Cuántos estudiantes de educación media toman clases virtuales?	['90.000']
¿Cuántos estudiantes de UTU trabajarán en las aulas virtuales?	['11.000']
¿Cuántos estudiantes de UTU trabajarán en las aulas virtuales?	['11.000']
¿Qué carreras de UTU ya se podían realizar virtualmente?	['prevencionista, logística, turismo y tecnólogo cárnico']
¿Cuántos casos de covid-19 se pueden resolver en el primer nivel de atención?	['80%']
¿Qué significa Sumefac?	['Sociedad Uruguaya de Medicina Familiar y Comunitaria']
¿Qué policlínicas deberías mantenerse cerradas según Sumefac?	['en las que las condiciones edilicias o de infraestructura sean extremadamente precarias']
¿Qué proyecto plantea el Frente Amplio relacionado con la vivienda?	['aquellas personas que tienen créditos hipotecarios y que “por la situación sanitaria sus ingresos se hayan visto restringidos o afectados total o parcialmente, tengan un plazo en que no se generen procedimientos de ejecución hipotecaria”']
¿Qué proyecto plantea el Frente Amplio relacionado con la vivienda?	['Establecer facilidades para préstamos con garantía hipotecaria para vivienda']
¿A qué agrupación pertenece Lucía Etcheverry?	['Movimiento de Participación Popular']
¿Qué proyecto plantea el Frente Amplio relacionado con el seguro de paro?	['flexibilización del seguro de paro']
¿Qué proyecto plantea el Frente Amplio relacionado con el seguro de paro?	['flexibilicen las condiciones tanto para el seguro de enfermedad como para el seguro de paro']
¿Qué proyecto plantea el Frente Amplio relacionado con el seguro de paro?	['extensión del seguro de desempleo para trabajadores mensuales y trabajadores jornaleros']
¿Qué proyecto plantea el Frente Amplio relacionado con el seguro de paro?	['Extensión del plazo de seguro de desempleo']
¿Cuándo se reanudan las clases en las escuelas rurales?	['miércoles 22 de abril']
¿Cuántas escuelas rurales hay?	['953']
¿Qué trabajadores pueden no concurrir a la escuela?	['todos los trabajadores que tengan factores de riesgo, es decir, si tienen alguna enfermedad preexistente o son mayores de 65 años']
¿Cuál es la causa de la obesidad en niños?	['falta de actividad física y el consumo de alimentos ultraprocesados y bebidas azucaradas']
¿Cuántos niños tienen sobrepeso en América Latina?	['Un tercio']
¿Cuántos niños tienen sobrepeso en América Latina?	['Tres de cada diez']
¿Cuántos niños tienen sobrepeso en América Latina?	['3 de cada 10']
¿Dónde está Unicef en América Latina?	['Panamá']
¿Quién representa Unicef en América Latina?	['Jean Gough']
¿Cuánto tiempo debe pasar desde la segunda dosis para darse la vacuna de refuerzo en Israel?	['más de cinco meses']
¿Cuánta gente en Israel ya recibió la tercera dosis contra el covid?	['Más de 1,2 millones']
¿Cuánta efectividad aporta el refuerzo de la vacuna contra el covid para mayores de 60 años?	['86 %']
¿Qué restricciones están vigentes en Israel debido a la cuarta ola de covid?	['el certificado de vacunación para acceder a determinados espacios y la limitación de personas congregadas, incluido en centros comerciales']
¿Quién es el director de salud de Paysandú?	['Carlos Leoni']
¿Quién es Carlos Leoni?	['El director de Salud de Paysandú']
¿Cuál es el número del Servicio de Atención Médica de Emergencia?	['105']
¿Quién es la directora de la región sur de ASSE?	['Virginia Longo']
¿Quién es Virginia Longo?	['La directora de la Región Sur de la Administración de los Servicios de Salud del Estado (ASSE)']
¿Con cuántas camas para el ingreso de pacientes cuenta el Hospital Español?	['ocho']
¿Cuántas camas tiene el CTI del Hospital Español?	['23']
¿En cuántas escuelas rurales se piensa retomar la presencialidad?	['973']
¿Quién decidió retomar las clases presenciales el 22 de abril?	['gobierno']
¿En qué departamento no se retomarán las clases de las escuelas rurales?	['Canelones']
¿Qué es someruy?	['La Sociedad de Medicina Rural del Uruguay']
¿Qué porcentaje de médicos uruguayos vive y asiste al norte del río negro?	['menos de 6%']
¿Quién es el presidente de la Federación Médica del Interior?	['Patricia Nava']
¿Quién es Patricia Nava?	['La presidenta de Femi']
¿Qué es la FEMI?	['La Federación Médica del Interior']
¿Quién decidió retomar las clases presenciales el 22 de abril?	['Poder Ejecutivo']
¿Qué le solicitó la FUM al gobierno?	['“la revisión de la resolución adoptada”']
¿Quién es el subsecretario del MSP?	['José Luis Satdjian']
¿Quipen es José Luis Satdjian?	['el subsecretario del MSP']
¿Cuántos días de cuarentena debe hacer un médico con covid asintomático?	['14 días']
"¿Qué se considera un ""contacto cercano"" con un caso positivo?"	['el protocolo define por “contacto cercano” a “aquella persona que estuvo a menos de dos metros de la persona confirmada como covid positivo durante un tiempo de diez minutos']
¿Cuántos días luego del contacto con un positivo se da la máxima carga viral?	['séptimo día']
¿Qué materiales es necesario tener para participar del taller de Isol Masenta?	['cartulinas (preferiblemente blancas), un par de hojas blancas por participante, tijera y trincheta, crayolas, lápices de colores o marcadores']
¿Qué premio ganó Isol Masenta?	['el Memorial Astrid Lindgren 2013']
¿Dónde se puede ver la información sobre el encuentro virtual de diseño?	['latirfestival.com']
¿Cuál fase de la reapertura gradual comienza el 4 de mayo en Italia?	['“fase dos”']
¿De quién espera recibir apoyo Giuseppe Conte para la reapertura en Italia?	['de la Unión Europea (UE)']
¿De quién espera recibir apoyo Giuseppe Conte para la reapertura en Italia?	['del bloque comunitario']
¿De quién espera recibir apoyo Giuseppe Conte para la reapertura en Italia?	['La UE y la Eurozona']
¿Cuántos puntos tiene la estrategia sanitaria de reapertura de Italia?	['cinco']
¿De dónde es la directora de la OPS?	['Dominica']
¿Quiénes tienen peor acceso al sistema de salud estatal en Latinoamérica?	['algunos sectores poblacionales del continente, como los indígenas y afrodescendientes']
¿A cuántos países les entregó test PCR la OPS?	['34']
¿Cuántos test PCR entregó la OPS a países de Latinoamérica?	['500.000']
¿Quién es el Ministro del Interior de la Argentina?	['Eduardo Wado de Pedro']
¿Quién es el Ministro de Transporte de la Argentina?	['Mario Meoni']
¿Cuántas alertas de exposición se registran por día a través de la app Coronavirus.uy?	['Unas 80']
¿Quién creó la app?	['Nicolás Jodal']
¿Qué institución está detrás de Salud.uy?	['la Agencia de Gobierno Electrónico y Sociedad de la Información y del Conocimiento (Agesic)']
¿Qué es Agesic?	['la Agencia de Gobierno Electrónico y Sociedad de la Información y del Conocimiento']
¿Quién dirige la coordinación del Ministerio de Salud Pública?	['Karina Rando']
¿Por qué medio se expresó Salinas sobre la Marcha por la Diversidad?	['en su cuenta de Twitter']
¿Cuándo se celebró la Marcha por la Diversidad?	['el viernes por la tarde']
¿Cuándo ingresó al país la persona que trajo el primer caso positivo de Covid a puente San Martín?	['el 22 de julio']
¿Cuándo ingresó al país la persona que trajo el primer caso positivo de Covid a puente San Martín?	['el 22 de julio']
¿Dónde se contabilizará el caso positivo registrado en puente San Martín?	['Argentina']
¿A partir de qué momento es obligatorio el uso de tapabocas? 	['al momento del reinicio de sus actividades']
¿Qué medida está prevista para aquellos que no tengan tapabocas? 	['recibirán uno de forma gratuita']
¿Cuándo se anunció la medida para supermercados?	['este martes']
¿En cuántas escuelas habrá que contratar nuevos auxiliares? 	['cerca de 100']
¿Cuántas escuelas abrirían en Cerro Largo? 	['27']
¿Cuántas escuelas hay en el listado de comienzo de clases en  Soriano? 	['59']
¿Cuándo dijo el presidente Lacalle que se podía dar marcha atrás en las medidas? 	['17 de abril']
¿De qué tema le pareció demasiado brusco hablar a Radi y al Presidente? 	['del día después']
¿En qué país aumentó el uso de espacios libres? 	['Alemania']
¿Para qué son los operativos de la policía?	['para evitar las aglomeraciones']
¿Cuándo aumentó la movilidad? 	['el fin de semana']
¿Quiénes coordinan los entrenamientos en el Sporting?  	['del preparador físico, el jefe de la Unidad de Desempeño y el médico']
¿En cuánto bajó el salario de los jugadores el Sporting de Lisboa? 	['40%']
¿Cuántas personas murieron en Portugal por COVID?	['más de 700 personas']
¿Qué medio utilizó Talvi para anunciar el reconocimiento de ONU? 	['Twitter']
¿Cuántos uruguayos volvieron a través de la operación Todos en Casa?	['casi 2.000']
¿A qué país destacó la Organización Internacional para las Migraciones a través de un documento?	['Uruguay']
¿Cuántas tomas diarias máximo realizará Biofast? 	['450']
¿Qué cantidad de estudios será posible realizar diariamente? 	['1.379']
¿Qué laboratorios harán la toma de muestras de Covid-19?	['Biofast (de la empresa Remicor SA) y ATGen SRL']
¿Qué proporción de las empresas gastronómicas está trabajando solamente con envío a domicilio?	['21%']
¿Cuántas personas trabajan para empresas del CGU?	['1.900']
¿A través de que medio se harán las charlas en vivo del Colectivo?	['Instagram']
¿Cuántos niños recibieron su almuerzo en el merendero en Nueva España?	['50']
¿Cómo apoya Pedidos Ya con la logística? 	['cediendo motos tres veces por semana para el envío de las viandas']
¿Cuánto vale cada vianda que se dona por heroes.uy?	['80 pesos']
¿Cuál el plazo máximo para solicitar el beneficio?	['30 de abril a las 23.59']
¿Dónde se publicarán los videos realizados por los adjudicatarios de los bonos? 	['en la plataforma virtual corchea.uy']
¿Qué porcentaje del PIB representan las medidas?	['3%']
¿De qué cartera es ministro Ginés González García?	['Salud']
¿Cuál es el monto en dólares de las medidas anunciadas? 	['13.000 millones']
¿Cuál es la población de Alemania? 	['poco más de 83 millones de habitantes']
¿Cuál es el estado con más casos de Covid-19? 	['Baviera']
¿Cuándo comienzan de nuevo las clases en Alemania ?	['4 de mayo']
¿De qué provincia China es Wuhan la capital?	['Hubei']
¿De qué partido es la senadora Arrúa?	['Partido Patria Querida']
¿Quién es el principal político del Partido Liberal?	['Efraín Alegre']
¿Qué precio pagó la Dirección Nacional de Aeronáutica Civil por las mascarillas?	['casi el doble del precio que tienen esas mascarillas en el mercado minorista']
¿Cuándo estarán disponibles los respiradores de bajo costo? 	['un mes']
¿A cuántos pacientes se les aisló el virus en el Institut Pasteur? 	['diez']
¿Quién financió los proyectos para los kits RT-PCR?	['Agencia Nacional de Investigación e Innovación']
¿Quiénes crearon un grupo para hacer modelos de la epidemia? 	['investigadores de la Udelar']
¿Cuándo el celular intercambia identificadores? 	['cuando está a menos de tres metros de otro celular por más de 5 o 10 minutos']
¿Qué son los identificadores que el usuario envía al Ministerio de Salud Pública? 	['los códigos que obtuvo en los últimos 14 días']
¿Qué programa conduce Emiliano Cotelo? 	['En Perspectiva']
¿Cuántas personas instalaron la aplicación mientras ocurría la conferencia?	['10.000']
¿Qué tecnología hay que tener activada en el celular para que la aplicación funcione?	['Bluetooth']
¿Quién es el ministro de Industria? 	['Omar Paganini']
¿Qué empresas desarrollaron la tecnología para las alertas de exposición?	['Google y Apple']
¿Qué países desarrollaron esta tecnología antes que Uruguay?	['Italia y Suiza']
¿Cuántas descargas hubo de la aplicación en su primera etapa? 	['325 mil']
¿A qué hora se hará el lanzamiento de la aplicación?	['19:30 horas']
¿Con qué empresas firmó un acuerdo el gobierno?	['Google y Apple']
¿En cuántos países se probará esta tecnología inicialmente? 	['cuatro']
¿Cuáles son los países de la UE más afectados por la pandemia?	['']
¿Quiénes son los líderes de la UE?	['']
¿Quiénes aportarán dinero para ayudar a otros países?	['']
¿Qué diferencias hay?	['']
¿Cuánto dinero se piensa aportar para el fondo?	['']
¿Cuál era el valor mínimo del subsidio por desempleo?	['']
¿Cuánto dinero es un salario mínimo?	['']
¿Cuándo comenzó la crisis?	['']
¿Por qué se propone incrementar el valor mínimo del subsidio por desempleo?	['']
¿Cuántas personas reciben actualmente subsidio por desempleo?	['']
¿Qué medidas tomo el gobierno ante el coronavirus?	['']
¿Cuánto porcentaje de gente está de acuerdo con las medidas tomadas por el gobierno?	['']
¿Cuánto porcentaje de gente está en desacuerdo con las medidas tomadas por el gobierno?	['']
¿Quién realizó la encuesta?	['']
